Aleph-ID|Autor|Titel|Aufl.|Jahr|ISBN|SPRACHE|Signatur|Fach
001123194|Collatz, Lothar|Optimierungsaufgaben|2. Aufl.|1971|3-540-05616-5|ger|110 SK 870 C697|11
001374394|Comer, Ronald J.|Klinische Psychologie|6. Aufl.|2008|978-3-8274-1905-7|ger|110 CU 1000 C732|03
001571410|Cook, Vivian|Chomsky's universal grammar|3. ed.|2007|1-405-11186-0|eng|110 ET 160 C771(3e)|27
001513270|Cooter, Robert|Law & economics|6. ed., internat. ed.|2012|978-0-13-284615-8|eng|110 PI 4130 C779(6e)|09
000726694|Cormeau, Christoph|Hartmann von Aue||1985|3-406-30309-9|ger|110 GF 4047 C811|29
000720407|Cormeau, Christoph|Hartmann von Aue|3., akt. Aufl. mit bibliograph. Erg. (1992/93 bis 2006) von Thomas Bein|2007|978-3-406-37629-0|ger|110 GF 4047 C811(3)|29
001548230|Cormen, Thomas H.|Algorithmen - eine Einführung|3., überarb. und erw. Aufl.|2010|978-3-486-59002-9|ger|110 ST 134 C811(3)|12
001415792|Cormen, Thomas H.|Introduction to algorithms|3. ed.|2009|978-0-262-03384-8|eng|110 ST 134 C811(3e)|11
001581018|Corneo, Giacomo G.|Öffentliche Finanzen|4., überarb. Aufl.|2012|978-3-16-152223-9|ger|110 QL 300 C814(4)|08
000773502|Coseriu, Eugenio|Einführung in die allgemeine Sprachwissenschaft||1988|3-7720-1723-1|ger|110 ER 550 C834|27
001552412|Coulouris, George F.|Distributed systems|5. ed., internat. ed.|2012|0-273-76059-9|eng|110 ST 200 C855(5e)|12
001096525|Cramer, Thomas|Geschichte der deutschen Literatur im späten Mittelalter|Orig.-Ausg.|1990|3-423-04553-3|ger|110 GE 8001 G389-3|29
001203595|Crawford, Michael H.|Die römische Republik|Dt. Erstausg., 5. Aufl.|1994|3-423-04404-7|ger|110 NB 1400 C899|34
000761049|Crystal, David|The Cambridge encyclopedia of the English language||1995|0-521-40179-8|eng|110 HE 100 C957|28
000905771|Crystal, David|The Cambridge encyclopedia of the English language|2. ed|2003|0-521-82348-X|eng|110 HE 100 C957(2)|28
